userid,appname
dvid@@@U3ZbXmn1+djZxkeCmubHMw==,米赚-手机赚钱
dvid@@@U3ZbXmn1+djZxkeCmubHMw==,三星智能共享
dvid@@@U3ZbXmn1+djZxkeCmubHMw==,惠头条
dvid@@@U3ZbXmn1+djZxkeCmubHMw==,支付宝
dvid@@@U3ZbXmn1+djZxkeCmubHMw==,Samsung 打印服务插件
dvid@@@U3ZbXmn1+djZxkeCmubHMw==,汽车报价大全
dvid@@@U3ZbXmn1+djZxkeCmubHMw==,趣头条
dvid@@@U3ZbXmn1+djZxkeCmubHMw==,今日头条
dvid@@@U3ZbXmn1+djZxkeCmubHMw==,东方头条
dvid@@@U3ZbXmn1+djZxkeCmubHMw==,微信
dvid@@@U3ZbXmn1+djZxkeCmubHMw==,有条
dvid@@@U3ZbXmn1+djZxkeCmubHMw==,360手机助手
dvid@@@U3ZbXmn1+djZxkeCmubHMw==,WiFi管家
dvid@@@U3ZbXmn1+djZxkeCmubHMw==,HP 打印服务插件
dvid@@@U3ZbXmn1+djZxkeCmubHMw==,酷划锁屏
dvid@@@U3ZbXmn1+djZxkeCmubHMw==,安狗狗管家
dvid@@@U3ZbXmn1+djZxkeCmubHMw==,360清理大师
dvid@@@U3ZbXmn1+djZxkeCmubHMw==,WiFi万能钥匙
dvid@@@U3ZbXmn1+djZxkeCmubHMw==,百度手机助手
dvid@@@U3ZbXmn1+djZxkeCmubHMw==,波波视频
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,手机搬家
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,爱奇艺
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,美团
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,优酷
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,儿歌点点
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,凯叔讲故事
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,浏览器
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,天天快报
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,爱奇艺纳逗
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,微信
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,滴滴出行
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,应用宝
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,百度
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,千牛
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,滴滴车主
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,58同城
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,汽车报价大全
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,腾讯视频
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,QQ浏览器
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,汽车之家
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,新欢乐斗地主
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,抖音短视频
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,QQ
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,滴滴司机
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,imToken
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,WiFi万能钥匙
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,阿里巴巴
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,喜马拉雅FM-听书电台
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,百度地图
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,必备应用
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,软件商店
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,去哪儿旅行
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,欢乐斗地主
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,摩拜单车
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,网易邮箱大师
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,京东
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,支付中心（系统软件）
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,高德地图
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,嘀嗒出租司机
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,酷我音乐
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,OPPO会员
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,快应用
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,微博
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,R11功能演示
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,搜索
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,淘宝大学
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,手机淘宝
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,游戏大厅
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,支付宝
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,WPS Office
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,中国移动
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,唯品会
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,飞猪
dvid@@@zMJdmClGAzOLFCKtMoWsdA==,酷狗音乐
dvid@@@zMJdmClGAzOLFCKtMoWsdA==,高德地图
dvid@@@zMJdmClGAzOLFCKtMoWsdA==,UC浏览器
dvid@@@zMJdmClGAzOLFCKtMoWsdA==,QQ
dvid@@@zMJdmClGAzOLFCKtMoWsdA==,拼多多
dvid@@@zMJdmClGAzOLFCKtMoWsdA==,文件管理
dvid@@@zMJdmClGAzOLFCKtMoWsdA==,手机淘宝
dvid@@@zMJdmClGAzOLFCKtMoWsdA==,汽车报价大全
dvid@@@zMJdmClGAzOLFCKtMoWsdA==,微信
dvid@@@zMJdmClGAzOLFCKtMoWsdA==,华为钱包安全支付
dvid@@@zMJdmClGAzOLFCKtMoWsdA==,华为移动服务
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,手机搬家
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,爱奇艺
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,美团
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,优酷
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,儿歌点点
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,凯叔讲故事
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,浏览器
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,天天快报
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,爱奇艺纳逗
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,微信
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,滴滴出行
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,应用宝
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,百度
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,千牛
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,滴滴车主
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,58同城
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,汽车报价大全
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,腾讯视频
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,QQ浏览器
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,汽车之家
dvid@@@Bk04AjDz7WRW2feT+OlFOA==,新欢乐斗地主
