tmp_yicheapp_dsp_momo_20180830.imei,tmp_yicheapp_dsp_momo_20180830.imeimd5,tmp_yicheapp_dsp_momo_20180830.timestamp,tmp_yicheapp_dsp_momo_20180830.hour,tmp_yicheapp_dsp_momo_20180830.ip,tmp_yicheapp_dsp_momo_20180830.province,tmp_yicheapp_dsp_momo_20180830.city,tmp_yicheapp_dsp_momo_20180830.provincename,tmp_yicheapp_dsp_momo_20180830.cityname,tmp_yicheapp_dsp_momo_20180830.bidid,tmp_yicheapp_dsp_momo_20180830.channelid,tmp_yicheapp_dsp_momo_20180830.mediaid,tmp_yicheapp_dsp_momo_20180830.bidprice,tmp_yicheapp_dsp_momo_20180830.price,tmp_yicheapp_dsp_momo_20180830.cookie,tmp_yicheapp_dsp_momo_20180830.ua,tmp_yicheapp_dsp_momo_20180830.devicetype,tmp_yicheapp_dsp_momo_20180830.mobiletype,tmp_yicheapp_dsp_momo_20180830.nettype,tmp_yicheapp_dsp_momo_20180830.placeid,tmp_yicheapp_dsp_momo_20180830.pageurl,tmp_yicheapp_dsp_momo_20180830.ordersn,tmp_yicheapp_dsp_momo_20180830.campaignid,tmp_yicheapp_dsp_momo_20180830.materialid,tmp_yicheapp_dsp_momo_20180830.schedulingid,tmp_yicheapp_dsp_momo_20180830.resulttype,tmp_yicheapp_dsp_momo_20180830.creativeid,tmp_yicheapp_dsp_momo_20180830.capfrequency,tmp_yicheapp_dsp_momo_20180830.groupid,tmp_yicheapp_dsp_momo_20180830.advertiserid,tmp_yicheapp_dsp_momo_20180830.adid,tmp_yicheapp_dsp_momo_20180830.adnetwork,tmp_yicheapp_dsp_momo_20180830.mediadata,tmp_yicheapp_dsp_momo_20180830.dealid,tmp_yicheapp_dsp_momo_20180830.ttdealid,tmp_yicheapp_dsp_momo_20180830.agentprice,tmp_yicheapp_dsp_momo_20180830.floorprice,tmp_yicheapp_dsp_momo_20180830.mid,tmp_yicheapp_dsp_momo_20180830.lon,tmp_yicheapp_dsp_momo_20180830.lat,tmp_yicheapp_dsp_momo_20180830.etl_dt,tmp_yicheapp_dsp_momo_20180830.etl_hr
8.69E+14,009019c21496f5479f0298b1e849e6b4,1.53E+12,18,117.179.130.2,230000,230800,"黑龙江省,佳木斯市,odjnRCeWNmJUhDTAnuIyynlEtIJSxlnd",4,34,1500,1500,009019c21496f5479f0298b1e849e6b4,MomoChat/8.9.3 Android/3085 (OPPO R7sPlus; Android 5.1.1; Gapps 1; zh_CN; 12; OPPO),1,ANDROIDPHONE,WIFI,604,,,312,-1,,0,1088,0,709,10001,863,3,"{""ageMin"":""33"",""gender"":""2"",""usertag"":"""",""ageMax"":""2147483647""}",,,1500,0,NULL,129.5911,44.5709,2018/8/7,18,,
8.63E+14,0aad903ed4cc5fcfcda068588c21f3bb,1.53E+12,20,49.95.10.182,320000,329900,江苏眿未识别地匿gfrIzxKzIJXKwfyVBRPElyyoobPXyXwN,4,34,1500,1500,0aad903ed4cc5fcfcda068588c21f3bb,MomoChat/8.9.2 Android/3064 (OPPO A59m; Android 5.1; Gapps 1; zh_CN; 12; OPPO),1,ANDROIDPHONE,2G,604,,,279,-1,,0,1039,0,656,10040,809,3,"{""ageMin"":""33"",""gender"":""1"",""usertag"":"""",""ageMax"":""2147483647""}",,,1500,0,NULL,118.8046,34.0959,2018/7/29,20,,
8.61E+14,0cde0594168110f79d0c37414bb38f3c,1.53E+12,11,223.104.188.28,100000,109900,未识别地匿未识别地匿eqFPhqiFEmEhwFZrwRaEMVQzmTkvQZSK,4,34,0,0,0cde0594168110f79d0c37414bb38f3c,MomoChat/8.8.4 Android/2179 (OPPO R9 Plustm A; Android 5.1.1; Gapps 1; zh_CN; 12; OPPO),1,ANDROIDPHONE,2G,5,null,,0,0,,0,0,0,0,0,0,3,"{""ageMin"":""33"",""gender"":""1"",""usertag"":"""",""ageMax"":""2147483647""}",null,null,0,1500,NULL,121.3146,37.5597,2018/7/10,11,,
8.62E+14,0cf8c198e38f26f7fa180413a08be02c,1.53E+12,11,112.17.247.47,330000,339900,浙江眿未识别地匿obktsvqEkxodDGwAOpSYlccMHJofHFsY,4,34,0,0,0cf8c198e38f26f7fa180413a08be02c,MomoChat/8.8.4 Android/2179 (OPPO R9m; Android 5.1; Gapps 1; zh_CN; 12; OPPO),1,ANDROIDPHONE,2G,5,null,,0,0,,0,0,0,0,0,0,3,"{""ageMin"":""33"",""gender"":""1"",""usertag"":"""",""ageMax"":""2147483647""}",null,null,0,1500,NULL,118.8768,28.9271,2018/7/12,11,,
8.63E+14,1228559471bbd01d27837c3a127503e5,1.53E+12,21,112.192.36.104,510000,511700,四川眿达州帿litMFvbJSpOVAzlawtSpOOGpqFSTnTZw,4,34,0,0,1228559471bbd01d27837c3a127503e5,MomoChat/8.8.4 Android/2179 (OPPO R9st; Android 6.0.1; Gapps 1; zh_CN; 12; OPPO),1,ANDROIDPHONE,WIFI,5,null,,0,0,,0,0,0,0,0,0,3,"{""ageMin"":""27"",""gender"":""2"",""usertag"":"""",""ageMax"":""32""}",null,null,0,1500,NULL,107.118,31.2996,2018/7/12,21,,
8.61E+14,14e8996c154a79e0926b9a7df9018b54,1.53E+12,2,49.92.148.44,320000,329900,江苏眿未识别地匿PBrJdAokCLoREnantXivtOTuhYzhcZjg,4,34,0,0,14e8996c154a79e0926b9a7df9018b54,MomoChat/8.9 Android/3002 (OPPO R9 Plustm A; Android 5.1.1; Gapps 1; zh_CN; 12; OPPO),1,ANDROIDPHONE,2G,5,null,,0,0,,0,0,0,0,0,0,3,"{""ageMin"":""33"",""gender"":""1"",""usertag"":"""",""ageMax"":""2147483647""}",null,null,0,1500,NULL,118.2273,33.9105,2018/7/13,2,,
8.66E+14,18f3a25847f67d056e707a4c92eea931,1.53E+12,18,117.136.103.249,340000,349900,安徽眿未识别地匿RdenmMCuFCrqpkOOBxYAgaaRSsDBFZIG,4,34,1500,1500,18f3a25847f67d056e707a4c92eea931,MomoChat/8.9.3 Android/3085 (OPPO R11t; Android 7.1.1; Gapps 1; zh_CN; 12; OPPO),1,ANDROIDPHONE,2G,604,,,283,-1,,0,1041,0,658,10010,811,3,"{""ageMin"":""23"",""gender"":""1"",""usertag"":"""",""ageMax"":""26""}",,,1500,0,NULL,116.3058,33.428,2018/8/7,18,,
8.69E+14,205389c51798eea0c1d5879e12947af7,1.53E+12,18,223.74.89.93,440000,440200,广东眿韶关帿cFAKsdyanUPWIwHGyOVMcmVoRzjDJodL,4,34,0,0,205389c51798eea0c1d5879e12947af7,MomoChat/8.8.4 Android/2179 (OPPO R9 Plusm A; Android 5.1.1; Gapps 1; zh_CN; 12; OPPO),1,ANDROIDPHONE,WIFI,5,null,,0,0,,0,0,0,0,0,0,3,"{""ageMin"":""33"",""gender"":""2"",""usertag"":""10006,10007,"",""ageMax"":""2147483647""}",null,null,0,1500,NULL,110.9147,21.664,2018/7/10,18,,
8.69E+14,2707b5ec344f564bc24b93566d9d04fe,1.53E+12,22,117.136.90.236,140000,140100,山西眿太原帿PwPnYfxJpAcmVuiijDeopCKntJfxVzIT,4,34,0,0,2707b5ec344f564bc24b93566d9d04fe,MomoChat/8.9 Android/3002 (vivo X6Plus L; Android 5.1; Gapps 1; zh_CN; 27; vivo),1,ANDROIDPHONE,2G,604,null,,0,0,,0,0,0,0,0,0,3,"{""ageMin"":""27"",""gender"":""1"",""usertag"":"""",""ageMax"":""32""}",null,null,0,1500,NULL,110.8161,35.5829,2018/7/18,22,,
8.63E+14,30d60a9c341a7cf1505f1a582a57412d,1.53E+12,18,101.90.127.36,310000,319900,上海帿未识别地匿QQQeaArBfXwpsjIcqqZXTWfVWpflPITG,4,34,0,0,30d60a9c341a7cf1505f1a582a57412d,MomoChat/8.9.4 Android/3109 (BLA-AL00; Android 8.0.0; Gapps 1; zh_CN; 17; HUAWEI),1,ANDROIDPHONE,2G,5,null,,0,0,,0,0,0,0,0,0,3,"{""ageMin"":""27"",""gender"":""1"",""usertag"":""10007,"",""ageMax"":""32""}",null,null,0,1500,NULL,120.7806,30.7346,2018/8/9,18,,
